Nome,Data de Nascimento,Sexo,Raça,Estado Civil,Você trabalha? (Estágio ou Efetivo),Renda Própria,Quantidade de Filhos,Renda do Responsável Financeiro,Escolaridade do Responsável,Bairro,Distancia,Tipo de Ingresso,%_BOLSA,Curso,Semestre,FALTA,Status
Bruna Cirino,2004-07-27,Feminino,Negro,Solteiro,Não,2503,0,2097,Ensino Superior,Asa Norte,9,IDP Pass,17,Engenharia de Software,5,6,1
Zoe Brito,2002-08-23,Masculino,Branco,Solteiro,Sim,1627,0,3533,Ensino Médio,SCIA,8,PROUNI,100,Arquitetura,2,13,0
Antonella Brito,2004-06-22,Masculino,Branco,Solteiro,Sim,2829,0,2994,Ensino Superior,Samambaia,6,IDP Pass,45,Publicidade,3,8,0
Luiz Felipe Guerra,1996-10-11,Masculino,Branco,Solteiro,Sim,1721,0,2580,Ensino Superior,Santa Maria,2,IDP Pass,12,Psicologia,2,10,0
Heitor Siqueira,2002-09-19,Feminino,Branco,Solteiro,Sim,2262,0,2316,Ensino Superior,Asa Sul,7,IDP Pass,32,Engenharia de Software,4,7,0
Maysa Moraes,2001-11-08,Feminino,Branco,Solteiro,Não,1682,0,3852,Ensino Superior,Noroeste,10,ENEM,43,Ciência da Computação,3,10,0
Nicole Nascimento,2004-07-17,Masculino,Branco,Solteiro,Sim,2343,0,3553,Ensino Superior,Águas Claras,3,IDP Pass,8,Arquitetura,3,6,0
Sofia Pimenta,2003-11-09,Feminino,Negro,União Estável,Não,2637,0,3802,Ensino Superior,Asa Sul,6,ENEM,5,Ciência da Computação,2,8,0
Caroline Novais,1997-07-14,Masculino,Branco,Solteiro,Não,2860,0,3127,Ensino Superior,Vicente Pires,7,PROUNI,100,Arquitetura,5,8,0
Juan Silveira,1922-10-01,Feminino,Branco,Solteiro,Sim,2668,0,3489,Ensino Superior,Sol Nascente/Pôr do Sol,3,IDP Pass,17,Administração,2,9,0
Luan Mendonça,2005-06-22,Masculino,Branco,União Estável,Sim,2808,0,3010,Ensino Médio,Vicente Pires,10,IDP Pass,4,Ciência da Computação,2,9,1
Marcos Vinicius Cavalcanti,2000-11-07,Feminino,Branco,Solteiro,Sim,2266,0,3921,Ensino Superior,Asa Sul,2,ENEM,17,Administração,5,10,0
Stella Sales,2004-06-19,Masculino,Branco,Solteiro,Não,2821,0,2614,Ensino Médio,Noroeste,8,PROUNI,100,Psicologia,5,10,0
Nina Cirino,1999-03-26,Feminino,Branco,Solteiro,Sim,2894,0,2468,Ensino Médio,Vicente Pires,5,Transferência,16,Engenharia de Software,2,9,0
Ian Monteiro,2002-07-25,Masculino,Branco,Solteiro,Não,1321,0,2648,Ensino Superior,SIA,4,IDP Pass,34,Administração,1,7,1
Brayan Nascimento,1908-10-05,Masculino,Outras,Solteiro,Sim,2815,0,2555,Ensino Superior,SIA,8,ENEM,33,Arquitetura,4,10,0
Rafaela Ribeiro,2004-11-25,Feminino,Branco,Solteiro,Não,2717,0,3580,Ensino Médio,Brazlândia,1,Transferência,1,Arquitetura,1,2,0
Breno Cardoso,1910-12-12,Feminino,Branco,Solteiro,Sim,2873,0,2129,Ensino Superior,SCIA,7,PROUNI,100,Psicologia,3,19,0
Evelyn Correia,2004-04-12,Feminino,Branco,Solteiro,Sim,2558,0,3821,Ensino Superior,Lago Norte,8,PROUNI,100,Engenharia de Software,3,33,1
Letícia Pereira,1996-09-11,Masculino,Branco,Solteiro,Não,1152,0,3644,Ensino Médio,Planaltina,5,ENEM,7,Psicologia,5,7,0
Luigi Alves,1994-12-25,Masculino,Branco,Solteiro,Não,1992,0,3109,Ensino Superior,Cruzeiro,4,IDP Pass,34,Arquitetura,4,10,0
João Vitor Freitas,2002-10-02,Masculino,Outras,Solteiro,Não,2416,0,2649,Ensino Médio,Fercal,7,PROUNI,100,Engenharia de Software,3,10,1
Maria Helena Rios,2006-03-26,Masculino,Branco,Solteiro,Sim,1586,0,3114,Ensino Médio,Park Way,8,ENEM,31,Ciência da Computação,1,35,0
Juan Novaes,1996-02-27,Feminino,Branco,Solteiro,Não,1134,0,3167,Ensino Médio,Águas Claras,1,IDP Pass,3,Arquitetura,2,14,0
Rodrigo Vargas,2003-03-23,Feminino,Branco,Solteiro,Sim,1264,0,3240,Ensino Superior,Águas Claras,5,IDP Pass,32,Engenharia de Software,1,7,1
Guilherme Cavalcanti,2001-08-21,Feminino,Branco,Solteiro,Sim,2014,0,2864,Ensino Médio,Asa Sul,8,IDP Pass,6,Engenharia de Software,3,8,1
Theodoro Viana,2003-06-15,Masculino,Branco,Solteiro,Sim,1877,0,3799,Ensino Médio,Asa Norte,5,IDP Pass,24,Economia,1,6,0
Bento Sales,2003-06-16,Masculino,Outras,Solteiro,Não,2409,0,3418,Ensino Superior,Setor de Indústrias Gráficas,4,Transferência,41,Economia,4,8,0
Antonella da Rocha,2006-05-18,Masculino,Branco,Solteiro,Sim,1673,0,2906,Ensino Médio,Lago Sul,4,ENEM,13,Engenharia de Software,1,10,0
Alice Brito,2005-12-04,Masculino,Branco,Solteiro,Sim,2372,0,3441,Ensino Médio,SCIA,1,Transferência,24,Economia,2,10,0
Mariane Porto,1949-03-20,Masculino,Branco,Solteiro,Sim,1505,1,2772,Ensino Superior,Santa Maria,9,IDP Pass,44,Psicologia,1,7,0
André Vargas,1997-11-30,Feminino,Branco,Solteiro,Sim,2061,0,3766,Ensino Médio,Lago Sul,2,ENEM,40,Publicidade,1,9,1
Calebe da Mota,1997-05-26,Masculino,Branco,Solteiro,Não,1332,0,2932,Ensino Superior,Gama,3,IDP Pass,45,Administração,5,9,1
Luiz Gustavo Cavalcanti,1958-07-03,Feminino,Negro,Solteiro,Não,1334,0,3324,Ensino Superior,Taguatinga,3,ENEM,40,Publicidade,4,6,0
Ravi Nogueira,2005-05-23,Feminino,Branco,Solteiro,Sim,1386,1,3647,Ensino Superior,Varjão,9,IDP Pass,16,Publicidade,5,8,0
João da Rocha,1999-03-08,Feminino,Branco,União Estável,Sim,2633,0,2163,Ensino Superior,Paranoá,4,IDP Pass,17,Engenharia de Software,4,8,0
Felipe Peixoto,2006-02-27,Masculino,Outras,Solteiro,Sim,1188,0,3866,Ensino Médio,Sudoeste,2,ENEM,45,Psicologia,1,6,1
Ana Beatriz Garcia,2004-06-05,Masculino,Branco,Solteiro,Sim,2720,0,2669,Ensino Superior,SCIA,1,Transferência,43,Arquitetura,1,2,0
Henrique Fonseca,1998-08-22,Feminino,Branco,Solteiro,Não,1362,0,3203,Ensino Médio,Recanto das Emas,9,IDP Pass,49,Economia,1,38,0
Sofia Mendonça,2001-08-14,Feminino,Negro,Solteiro,Sim,2474,0,3126,Ensino Médio,Vicente Pires,2,PROUNI,100,Psicologia,3,7,0
Otávio Guerra,2001-12-26,Masculino,Branco,Solteiro,Não,1156,0,2742,Ensino Superior,Ceilândia,4,IDP Pass,44,Psicologia,4,8,0
João Lucas das Neves,2000-09-23,Masculino,Branco,Solteiro,Sim,2366,0,3104,Ensino Superior,Samambaia,9,ENEM,39,Publicidade,5,8,0
Luana Araújo,1995-09-30,Feminino,Branco,Solteiro,Não,1372,0,3051,Ensino Médio,Noroeste,4,IDP Pass,5,Arquitetura,3,30,1
Vinícius Cassiano,1995-07-02,Feminino,Branco,Solteiro,Sim,1551,0,2515,Ensino Superior,Varjão,8,IDP Pass,26,Economia,4,7,0
Ana Cecília Barbosa,1996-04-04,Feminino,Outras,Solteiro,Sim,1212,0,2367,Ensino Superior,Vicente Pires,4,ENEM,20,Economia,2,8,0
Dom Macedo,1939-01-04,Feminino,Branco,Solteiro,Sim,2021,0,2241,Ensino Médio,Lago Norte,1,PROUNI,100,Publicidade,4,10,1
Bento Gonçalves,2001-03-01,Masculino,Branco,Solteiro,Não,2264,0,3253,Ensino Médio,Plano Piloto,8,ENEM,15,Administração,4,8,1
Laura Fogaça,2001-09-30,Feminino,Branco,Solteiro,Sim,2434,0,2929,Ensino Superior,Recanto das Emas,2,Transferência,41,Psicologia,3,8,0
Camila Andrade,2004-06-22,Masculino,Branco,Solteiro,Não,2187,0,3917,Ensino Médio,Candangolândia,2,ENEM,32,Arquitetura,1,8,0
Ian Ramos,2000-11-12,Masculino,Branco,Solteiro,Não,1817,0,3003,Ensino Superior,Sudoeste,2,ENEM,40,Publicidade,3,9,0
Luiza Nogueira,2005-07-24,Feminino,Outras,Solteiro,Não,2879,0,2199,Ensino Médio,Itapoã,10,ENEM,3,Arquitetura,5,10,1
Mariana Montenegro,1995-04-19,Masculino,Branco,Solteiro,Sim,1615,0,3010,Ensino Superior,Lago Sul,2,IDP Pass,19,Economia,3,33,1
Maria Julia Castro,1999-04-21,Feminino,Branco,Solteiro,Sim,1392,0,2367,Ensino Superior,São Sebastião,4,ENEM,22,Psicologia,4,6,0
Kaique Pereira,1997-04-02,Feminino,Branco,Solteiro,Sim,2278,0,2483,Ensino Médio,Asa Norte,9,Transferência,45,Administração,4,9,1
Ryan Ribeiro,1997-07-20,Feminino,Outras,Solteiro,Não,2232,0,3062,Ensino Médio,Sudoeste,2,ENEM,36,Administração,1,7,0
Carlos Eduardo Silveira,1998-04-25,Feminino,Branco,Solteiro,Sim,1513,0,3809,Ensino Médio,Fercal,3,IDP Pass,35,Ciência da Computação,1,9,1
Olívia Marques,2004-12-31,Feminino,Branco,Solteiro,Sim,1385,0,2229,Ensino Superior,Samambaia,2,Transferência,28,Psicologia,3,4,0
Thales Pinto,2001-11-09,Masculino,Branco,Solteiro,Sim,1831,0,2899,Ensino Médio,Sudoeste,8,ENEM,35,Economia,4,9,0
Anthony Gabriel da Costa,1909-09-25,Feminino,Branco,Solteiro,Sim,1761,0,3915,Ensino Superior,Candangolândia,2,IDP Pass,1,Arquitetura,5,7,1
Thiago Lima,1995-07-15,Masculino,Branco,União Estável,Sim,1535,0,2215,Ensino Superior,Varjão,7,PROUNI,100,Arquitetura,1,10,1
Bella Viana,2000-10-15,Feminino,Branco,Solteiro,Sim,1471,0,2714,Ensino Médio,SCIA,2,ENEM,35,Ciência da Computação,5,10,1
Aurora Campos,1998-06-15,Masculino,Branco,Solteiro,Não,1500,0,3387,Ensino Superior,Noroeste,2,IDP Pass,18,Economia,1,7,0
Ayla Fonseca,1999-03-04,Masculino,Branco,União Estável,Não,1606,0,2258,Ensino Médio,Sudoeste,4,ENEM,9,Ciência da Computação,1,7,0
Anthony Gabriel Macedo,2004-03-13,Masculino,Branco,União Estável,Sim,1476,0,3081,Ensino Médio,Sudoeste,2,ENEM,16,Psicologia,1,10,0
Gabriel Barbosa,1998-12-30,Feminino,Branco,Solteiro,Não,2196,0,3017,Ensino Médio,Vicente Pires,9,IDP Pass,21,Publicidade,4,6,1
Bento Casa Grande,1997-03-25,Masculino,Branco,Solteiro,Sim,1802,0,2251,Ensino Superior,Noroeste,8,ENEM,6,Arquitetura,3,8,0
Lucca Nunes,1998-04-21,Feminino,Negro,Solteiro,Sim,2485,0,3039,Ensino Médio,Fercal,2,IDP Pass,28,Engenharia de Software,4,29,0
Maria Clara Alves,2000-07-22,Masculino,Branco,Solteiro,Não,2896,0,3529,Ensino Médio,Sol Nascente/Pôr do Sol,9,PROUNI,100,Psicologia,5,36,1
Luna Nunes,2005-10-16,Feminino,Branco,União Estável,Sim,1629,0,3648,Ensino Médio,Setor de Indústrias Gráficas,9,PROUNI,100,Arquitetura,1,9,0
Lívia da Cruz,2004-09-25,Masculino,Negro,Casado,Não,2079,2,2845,Ensino Superior,Sol Nascente/Pôr do Sol,5,IDP Pass,17,Psicologia,2,10,0
Isaac Barbosa,1996-09-24,Masculino,Branco,União Estável,Não,1465,0,3408,Ensino Superior,Itapoã,8,ENEM,50,Arquitetura,5,10,1
Bárbara Gonçalves,1996-09-15,Feminino,Branco,Solteiro,Sim,2141,0,3093,Ensino Superior,Asa Sul,6,IDP Pass,45,Ciência da Computação,1,10,1
Renan Cirino,2006-05-21,Masculino,Branco,Solteiro,Não,1653,0,3873,Ensino Médio,Planaltina,4,PROUNI,100,Economia,1,7,0
Isabella Fernandes,2002-09-12,Masculino,Branco,Solteiro,Sim,1553,0,3288,Ensino Médio,Sobradinho,9,ENEM,45,Economia,1,6,0
Ravi Machado,2001-04-14,Feminino,Branco,União Estável,Não,1530,0,3469,Ensino Médio,São Sebastião,10,PROUNI,100,Economia,4,8,0
Maria Oliveira,2004-03-28,Masculino,Negro,Solteiro,Não,1880,0,2261,Ensino Superior,Riacho Fundo II,8,IDP Pass,12,Ciência da Computação,2,6,0
Maria Eduarda Rodrigues,2000-09-27,Feminino,Branco,Solteiro,Sim,2328,0,3330,Ensino Superior,Samambaia,8,ENEM,28,Engenharia de Software,5,10,0
Cauã Fernandes,2002-04-28,Masculino,Negro,Solteiro,Sim,2591,0,2499,Ensino Superior,Lago Norte,2,IDP Pass,36,Publicidade,3,6,1
Ana Julia Pimenta,2001-12-05,Masculino,Branco,Solteiro,Não,1012,2,2337,Ensino Superior,Lago Sul,4,IDP Pass,44,Administração,1,6,1
José Miguel Vargas,2005-02-27,Feminino,Negro,Solteiro,Não,2066,0,3363,Ensino Superior,Varjão,9,ENEM,26,Economia,4,10,1
Maria Helena Lima,1994-10-15,Masculino,Negro,Solteiro,Não,2760,0,2142,Ensino Médio,Lago Sul,3,IDP Pass,21,Psicologia,2,7,0
Maria Alice Nascimento,2004-06-04,Feminino,Negro,Solteiro,Não,1426,3,3949,Ensino Médio,Asa Norte,9,ENEM,43,Engenharia de Software,1,9,0
Maria Luiza Abreu,2003-04-14,Masculino,Branco,União Estável,Não,1520,0,3811,Ensino Superior,Noroeste,10,IDP Pass,33,Administração,5,34,0
Stella Machado,1995-12-21,Feminino,Branco,Casado,Não,2861,0,2290,Ensino Médio,Fercal,3,IDP Pass,9,Economia,5,8,0
Gabriel Almeida,1928-07-23,Feminino,Negro,Solteiro,Não,1937,0,2601,Ensino Superior,Paranoá,9,ENEM,37,Ciência da Computação,3,9,0
Carolina Santos,1996-10-31,Feminino,Branco,Solteiro,Não,2288,0,2433,Ensino Superior,Fercal,1,IDP Pass,20,Engenharia de Software,3,6,0
João Monteiro,1999-01-27,Masculino,Outras,Solteiro,Sim,2703,0,2356,Ensino Superior,Asa Norte,8,IDP Pass,12,Ciência da Computação,2,6,0
Lucas Cirino,1998-09-19,Feminino,Negro,Solteiro,Não,1408,0,3756,Ensino Superior,Núcleo Bandeirante,8,ENEM,5,Administração,3,8,0
Diogo Moraes,1909-10-17,Feminino,Negro,Solteiro,Sim,1961,0,3051,Ensino Médio,Recanto das Emas,9,ENEM,24,Administração,2,39,1
Lucas Costa,2004-09-10,Feminino,Branco,Solteiro,Sim,2034,0,3636,Ensino Médio,Vicente Pires,3,IDP Pass,14,Administração,3,9,1
Pedro Lucas Siqueira,1994-09-29,Feminino,Branco,Solteiro,Sim,1482,0,2560,Ensino Superior,Asa Norte,3,IDP Pass,27,Arquitetura,1,9,0
Bruna Rios,1995-05-02,Masculino,Branco,União Estável,Não,2324,0,3591,Ensino Superior,Setor de Indústrias Gráficas,7,PROUNI,100,Economia,4,9,0
Bento Camargo,1936-03-21,Masculino,Branco,Solteiro,Sim,2747,1,2613,Ensino Médio,Asa Norte,4,IDP Pass,42,Publicidade,2,39,0
Maria Helena da Cruz,1997-07-11,Masculino,Negro,Solteiro,Não,2894,0,2024,Ensino Médio,Noroeste,3,IDP Pass,26,Publicidade,5,8,0
Marcos Vinicius Cardoso,2003-04-04,Masculino,Negro,Solteiro,Sim,1314,0,3829,Ensino Superior,Vicente Pires,2,ENEM,34,Economia,3,10,0
Davi Luiz Leão,2002-06-16,Feminino,Branco,Solteiro,Não,1797,0,3239,Ensino Superior,Sudoeste,7,PROUNI,100,Administração,4,5,0
Maysa Vargas,1945-12-18,Feminino,Branco,Solteiro,Não,1607,0,3054,Ensino Médio,Vicente Pires,1,IDP Pass,1,Economia,3,9,1
Ísis Cavalcanti,1995-03-27,Masculino,Negro,Solteiro,Sim,2568,0,2798,Ensino Superior,Santa Maria,10,Transferência,21,Economia,1,5,0
Sophie Viana,1996-04-18,Masculino,Outras,Solteiro,Sim,1433,0,3457,Ensino Superior,Noroeste,9,ENEM,34,Publicidade,4,8,1
Otto Caldeira,1998-05-30,Feminino,Branco,Solteiro,Não,1070,0,3825,Ensino Médio,Lago Norte,1,ENEM,12,Publicidade,4,6,0
Gael Freitas,1996-06-22,Feminino,Branco,Solteiro,Não,2134,0,3534,Ensino Médio,Setor de Indústrias Gráficas,5,IDP Pass,12,Arquitetura,2,9,1
Luna Novaes,2005-11-25,Feminino,Branco,Solteiro,Não,2011,0,3679,Ensino Superior,Noroeste,2,Transferência,39,Engenharia de Software,5,1,0
Emanuel Fernandes,2000-08-21,Feminino,Outras,União Estável,Não,1891,0,3763,Ensino Médio,Setor de Indústrias Gráficas,5,IDP Pass,34,Ciência da Computação,4,7,1
Matteo Oliveira,2001-10-20,Feminino,Branco,Solteiro,Não,1641,0,3311,Ensino Médio,SIA,8,ENEM,8,Psicologia,1,36,1
Marcela da Costa,1930-08-21,Feminino,Outras,Solteiro,Não,1795,0,3106,Ensino Médio,Brazlândia,7,IDP Pass,13,Publicidade,3,9,0
Luiz Henrique Martins,2003-10-30,Masculino,Branco,Solteiro,Não,2384,0,3789,Ensino Superior,São Sebastião,9,PROUNI,100,Psicologia,5,10,1
Matheus da Mata,2004-03-01,Feminino,Branco,Solteiro,Sim,1625,0,3204,Ensino Superior,Asa Norte,10,IDP Pass,13,Ciência da Computação,3,9,0
Thiago Abreu,2006-01-02,Masculino,Branco,Casado,Não,2417,0,2428,Ensino Superior,Sudoeste,10,PROUNI,100,Administração,1,7,1
Sabrina Nascimento,1996-05-07,Feminino,Outras,Solteiro,Não,2580,0,3076,Ensino Superior,Riacho Fundo,7,ENEM,18,Administração,3,7,1
Kaique Gonçalves,1998-10-03,Feminino,Outras,Solteiro,Não,1802,0,3785,Ensino Médio,SIA,8,IDP Pass,3,Administração,2,10,1
Heloisa da Paz,2003-06-03,Feminino,Branco,Solteiro,Sim,2424,0,2617,Ensino Médio,Paranoá,2,IDP Pass,32,Publicidade,4,7,0
Luigi Pires,1922-04-22,Masculino,Branco,Solteiro,Sim,1616,0,3082,Ensino Médio,Lago Sul,10,IDP Pass,26,Ciência da Computação,2,9,0
João Santos,2002-12-05,Feminino,Negro,Solteiro,Sim,2288,0,2054,Ensino Médio,Núcleo Bandeirante,4,ENEM,9,Engenharia de Software,2,10,1
Dante Fernandes,2005-09-26,Feminino,Branco,Solteiro,Não,1043,0,3738,Ensino Médio,Recanto das Emas,9,IDP Pass,11,Administração,1,32,1
Ana Júlia Moreira,2006-02-08,Feminino,Branco,Solteiro,Não,1551,0,3486,Ensino Médio,Park Way,9,IDP Pass,11,Engenharia de Software,5,7,1
Ana Laura Rezende,2005-06-15,Masculino,Branco,Solteiro,Sim,1254,0,2569,Ensino Médio,SCIA,2,PROUNI,100,Administração,5,7,1
João Novais,1998-10-19,Masculino,Branco,Solteiro,Não,1760,0,3951,Ensino Médio,Lago Norte,2,ENEM,21,Arquitetura,3,6,1
Pietro Camargo,2001-10-29,Feminino,Branco,Solteiro,Não,1159,0,2855,Ensino Superior,Candangolândia,6,PROUNI,100,Ciência da Computação,5,0,0
Zoe Albuquerque,1906-10-28,Feminino,Branco,Solteiro,Sim,2763,0,3970,Ensino Médio,Sudoeste,5,Transferência,35,Economia,5,6,1
Caleb Martins,2001-05-15,Masculino,Outras,Solteiro,Não,1461,1,3779,Ensino Médio,Cruzeiro,4,PROUNI,100,Administração,5,21,0
João Felipe Araújo,1994-06-09,Masculino,Negro,União Estável,Sim,1917,0,2069,Ensino Médio,Noroeste,3,ENEM,1,Arquitetura,1,10,1
Marcos Vinicius Martins,2001-09-08,Masculino,Negro,União Estável,Sim,2486,0,3211,Ensino Médio,Fercal,2,PROUNI,100,Arquitetura,4,14,0
Ana Beatriz Cardoso,2004-05-02,Feminino,Branco,Solteiro,Não,2659,0,3933,Ensino Médio,Santa Maria,5,IDP Pass,23,Administração,3,8,0
Heloísa Brito,2003-03-17,Feminino,Branco,Solteiro,Sim,1523,0,3007,Ensino Superior,Águas Claras,1,PROUNI,100,Economia,3,9,1
Elisa Gomes,1932-07-09,Feminino,Outras,Solteiro,Sim,1061,0,2316,Ensino Superior,Setor de Indústrias Gráficas,6,IDP Pass,17,Administração,3,10,0
Luana Cassiano,2005-06-28,Masculino,Branco,Solteiro,Sim,1686,0,2494,Ensino Médio,Varjão,6,ENEM,33,Arquitetura,1,10,1
Alana Correia,1999-01-21,Masculino,Negro,Solteiro,Sim,2288,0,3722,Ensino Superior,Asa Norte,6,PROUNI,100,Ciência da Computação,4,6,1
Gael Abreu,1930-01-02,Masculino,Negro,Solteiro,Não,2714,0,3677,Ensino Médio,Noroeste,9,Transferência,15,Psicologia,2,8,0
Thomas Andrade,1995-06-01,Feminino,Outras,Solteiro,Sim,1040,0,2658,Ensino Médio,Plano Piloto,8,IDP Pass,46,Ciência da Computação,3,30,1
Davi Miguel Silva,1995-04-12,Masculino,Outras,Solteiro,Sim,1322,0,2514,Ensino Superior,Candangolândia,6,IDP Pass,39,Engenharia de Software,1,7,0
Milena Azevedo,1994-07-13,Feminino,Branco,Solteiro,Não,2174,0,3903,Ensino Superior,SIA,6,IDP Pass,17,Arquitetura,2,7,0
Ana Sophia Camargo,2004-02-25,Masculino,Branco,Solteiro,Não,2639,0,2315,Ensino Superior,Noroeste,10,Transferência,47,Publicidade,5,6,1
Enrico Pacheco,2003-06-02,Feminino,Branco,Solteiro,Sim,1036,0,3461,Ensino Médio,Lago Sul,7,ENEM,27,Administração,1,1,0
Davi Luiz Lima,2002-11-28,Feminino,Negro,Solteiro,Não,1103,0,3198,Ensino Médio,Taguatinga,10,ENEM,4,Engenharia de Software,1,29,0
Gael Sales,2002-01-14,Masculino,Negro,Solteiro,Sim,1057,0,3073,Ensino Superior,Riacho Fundo II,4,IDP Pass,9,Arquitetura,2,6,0
Allana Nunes,2001-02-26,Feminino,Branco,Solteiro,Sim,1298,0,3711,Ensino Superior,Cruzeiro,4,Transferência,40,Psicologia,2,6,0
Maitê Vieira,2005-02-01,Feminino,Branco,Solteiro,Não,2140,0,3064,Ensino Médio,Planaltina,5,PROUNI,100,Psicologia,2,9,0
Lorena da Luz,2002-05-06,Masculino,Outras,Solteiro,Não,1716,2,3586,Ensino Médio,Guará,9,ENEM,24,Economia,3,7,0
Vitor Hugo Ribeiro,1997-12-08,Feminino,Branco,Solteiro,Sim,1255,0,2373,Ensino Superior,Noroeste,10,Transferência,23,Publicidade,2,6,0
Luana das Neves,1998-12-21,Feminino,Negro,Solteiro,Não,1689,0,3895,Ensino Médio,Itapoã,6,ENEM,17,Engenharia de Software,1,23,1
Maria Eduarda Vargas,1911-11-15,Masculino,Negro,União Estável,Não,1691,0,3676,Ensino Médio,Riacho Fundo,9,IDP Pass,0,Arquitetura,3,9,1
Dante Carvalho,2001-04-09,Feminino,Negro,Solteiro,Sim,2698,0,3390,Ensino Superior,Taguatinga,8,ENEM,10,Psicologia,2,10,0
Renan da Mota,2003-03-01,Masculino,Branco,Solteiro,Não,1146,0,3772,Ensino Médio,Cruzeiro,6,ENEM,10,Publicidade,3,36,1
Davi Freitas,2004-11-08,Masculino,Branco,Solteiro,Sim,2867,0,3909,Ensino Médio,Asa Sul,9,Transferência,25,Psicologia,5,9,1
Anthony Rodrigues,2004-05-23,Feminino,Branco,Solteiro,Não,1460,0,3385,Ensino Médio,Asa Sul,9,ENEM,49,Arquitetura,4,9,1
Cecília Fonseca,1995-02-21,Feminino,Negro,Solteiro,Sim,2478,0,2668,Ensino Superior,Asa Sul,5,Transferência,3,Publicidade,3,8,1
José Pedro Santos,1996-01-16,Masculino,Branco,Solteiro,Não,1675,0,3418,Ensino Superior,Lago Oeste,1,PROUNI,100,Publicidade,2,7,0
Luan Moraes,2004-05-18,Feminino,Outras,Casado,Não,1712,2,2206,Ensino Médio,SCIA,10,ENEM,1,Administração,4,9,1
Ana Luiza da Rosa,2005-04-26,Feminino,Branco,Casado,Não,2737,0,2841,Ensino Médio,Asa Norte,9,ENEM,36,Administração,2,7,1
Alexia Macedo,1998-01-08,Masculino,Negro,União Estável,Sim,2125,0,3298,Ensino Superior,Recanto das Emas,10,IDP Pass,6,Ciência da Computação,3,0,0
Kevin Castro,1998-11-05,Masculino,Negro,Solteiro,Não,1843,0,2527,Ensino Médio,Asa Sul,3,IDP Pass,37,Engenharia de Software,2,9,0
Zoe Cavalcanti,2001-11-10,Masculino,Negro,Solteiro,Sim,1488,0,3790,Ensino Superior,Asa Sul,3,IDP Pass,7,Administração,5,7,1
Ravi Sales,2005-11-30,Feminino,Outras,Solteiro,Não,1473,0,3440,Ensino Superior,Sudoeste,3,IDP Pass,48,Arquitetura,1,7,0
Benicio Nunes,2000-09-22,Feminino,Branco,Solteiro,Não,2305,0,2681,Ensino Superior,SIA,3,IDP Pass,12,Administração,4,7,0
Alexia Castro,1920-03-09,Feminino,Negro,União Estável,Sim,1695,0,3522,Ensino Superior,Vicente Pires,10,Transferência,42,Engenharia de Software,2,6,1
Gael Sá,1996-12-19,Masculino,Branco,Solteiro,Sim,1915,0,3316,Ensino Superior,Vicente Pires,8,IDP Pass,48,Publicidade,5,7,1
Henrique Cavalcante,2001-05-06,Feminino,Branco,Casado,Não,2760,0,2461,Ensino Superior,São Sebastião,1,Transferência,34,Engenharia de Software,1,10,0
Leandro Peixoto,2005-11-24,Feminino,Branco,Solteiro,Sim,1620,0,3781,Ensino Superior,Asa Sul,1,ENEM,10,Economia,4,8,1
João Felipe Correia,2005-12-29,Feminino,Branco,Casado,Não,2689,0,3284,Ensino Superior,Vicente Pires,1,IDP Pass,5,Arquitetura,2,10,1
Lucca Macedo,1931-11-07,Feminino,Outras,Casado,Não,1264,0,2292,Ensino Superior,São Sebastião,10,ENEM,27,Psicologia,2,8,1
Matheus da Cruz,2001-06-25,Feminino,Negro,Solteiro,Não,1023,0,3913,Ensino Médio,Asa Norte,5,PROUNI,100,Ciência da Computação,3,8,0
Bella da Rosa,2005-01-28,Masculino,Negro,União Estável,Sim,2943,0,3378,Ensino Médio,Asa Norte,7,ENEM,33,Ciência da Computação,4,10,1
Pedro Lucas Aparecida,1997-12-23,Masculino,Outras,Solteiro,Não,1047,0,2793,Ensino Médio,Sudoeste,9,IDP Pass,4,Publicidade,5,8,0
Ana Lívia Barbosa,2005-10-07,Masculino,Branco,Solteiro,Não,1862,0,2711,Ensino Médio,Samambaia,2,IDP Pass,37,Administração,4,9,1
Yuri Andrade,2001-09-06,Masculino,Branco,Solteiro,Sim,2925,0,2672,Ensino Superior,Lago Norte,4,ENEM,6,Psicologia,3,8,0
Maria Vitória da Costa,2002-03-16,Feminino,Negro,Solteiro,Sim,2373,0,2781,Ensino Médio,SIA,4,PROUNI,100,Economia,2,10,1
Luna Farias,2002-03-16,Masculino,Branco,Solteiro,Não,2065,0,2129,Ensino Superior,Paranoá,7,Transferência,49,Economia,1,8,0
João Gabriel Lima,1997-01-15,Masculino,Branco,Solteiro,Sim,1047,0,3851,Ensino Superior,Núcleo Bandeirante,1,IDP Pass,49,Economia,2,8,0
Diogo Barros,2001-09-30,Feminino,Branco,Solteiro,Não,2843,0,2817,Ensino Médio,SCIA,1,IDP Pass,50,Engenharia de Software,3,8,1
Matheus Ferreira,1996-03-26,Masculino,Branco,Solteiro,Sim,1808,0,2930,Ensino Superior,Sudoeste,5,PROUNI,100,Psicologia,5,8,0
Olivia Souza,2006-01-23,Feminino,Branco,Solteiro,Não,2516,0,2562,Ensino Médio,SIA,3,PROUNI,100,Economia,2,10,1
Leandro Barbosa,2001-01-28,Feminino,Branco,Solteiro,Sim,2743,0,3274,Ensino Superior,Sobradinho,6,PROUNI,100,Ciência da Computação,1,32,0
